"country","points","price","province","title","variety","vintage"
"Italy",92,50,"Sicily & Sardinia","Feudo Maccari 2010 Sultana  (Moscato di Noto)","Moscato",2010
"Italy",87,50,"Tuscany","Renieri 2009  Brunello di Montalcino","Sangiovese",2009
"Italy",86,19,"Central Italy","Farnese 2007 Casale Vecchio Passerina Passerina (Colli Aprutini)","Passerina",2007
"Italy",85,13,"Northeastern Italy","Mezzacorona 2014 Castel Pietra Pinot Grigio (Vigneti delle Dolomiti)","Pinot Grigio",2014
"Italy",87,130,"Veneto","Monte Faustino 2001  Amarone della Valpolicella Classico","Corvina, Rondinella, Molinara",2001
"Italy",91,59,"Lombardy","Caven 2008 Messere  (Sforzato di Valtellina)","Nebbiolo",2008
"Italy",90,48,"Tuscany","Molino di Sant'Antimo 2011 Varco 84  (Brunello di Montalcino)","Sangiovese",2011
"Italy",90,35,"Lombardy","Contadi Castaldi 2006 Dosaggio Zero Sparkling (Franciacorta)","Sparkling Blend",2006
"Italy",88,20,"Piedmont","San Silvestro 2015 Fossili del Comune di Gavi  (Gavi)","Cortese",2015
"Italy",87,12,"Veneto","Progettidivini 2011 Millesimato Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)","Glera",2011
"Italy",90,33,"Southern Italy","Feudi di San Gregorio 2006 Cutizzi  (Greco di Tufo)","Greco",2006
"Italy",90,24,"Piedmont","La Prevostura 2010 Muntacc Red (Coste della Sesia)","Red Blend",2010
"Italy",91,90,"Tuscany","Poggio Mandorlo 2004 Poggiomandorlo  (Maremma)","Red Blend",2004
"Italy",88,19,"Veneto","Castellani Michele & Figli 2008 Collezione Ca' del Pipa  (Valpolicella Classico Superiore Ripasso)","Corvina, Rondinella, Molinara",2008
"Italy",89,40,"Northeastern Italy","Vie di Romans 2011 Piere Sauvignon (Friuli Isonzo)","Sauvignon",2011
"Italy",92,54,"Central Italy","Arnaldo Caprai 2008 Passito  (Montefalco Sagrantino)","Sagrantino",2008
"Italy",91,60,"Veneto","Nicolis 2006  Amarone della Valpolicella Classico","Corvina, Rondinella, Molinara",2006
"Italy",87,35,"Veneto","Antolini 2009  Valpolicella Classico Superiore Ripasso","Corvina, Rondinella, Molinara",2009
"Italy",87,20,"Tuscany","Borgo Scopeto 2009  Chianti Classico","Sangiovese",2009
"Italy",91,90,"Tuscany","Corte Pavone 2010  Brunello di Montalcino","Sangiovese",2010
"Italy",90,30,"Tuscany","Badia a Coltibuono 2010 Cultus Boni  (Chianti Classico)","Red Blend",2010
"Italy",84,11,"Central Italy","Caldora Vini 2010 Chardonnay (Terre di Chieti)","Chardonnay",2010
"Italy",92,69,"Piedmont","Mauro Veglio 2012 Rocche dell'Annunziata  (Barolo)","Nebbiolo",2012
"Italy",89,47,"Tuscany","Uggiano 2010 Petraia Red (Toscana)","Red Blend",2010
"Italy",88,66,"Piedmont","Mario Gagliasso 2010 Rocche dell'Annunziata  (Barolo)","Nebbiolo",2010
"Italy",92,39,"Sicily & Sardinia","Planeta 2005 Burdese Red (Sicilia)","Red Blend",2005
"Italy",95,95,"Piedmont","Giovanni Rosso 2011 Cerretta  (Barolo)","Nebbiolo",2011
"Italy",90,26,"Central Italy","Montecappone 2012 Federico II A.D. 1194  (Verdicchio dei Castelli di Jesi Classico Superiore)","Verdicchio",2012
"Italy",90,38,"Tuscany","Tenuta San Vito 2012 Darno  (Chianti Colli Fiorentini)","Red Blend",2012
"Italy",95,40,"Tuscany","Aia Vecchia 2008 Sorugo  (Bolgheri Superiore)","Red Blend",2008
"Italy",85,10,"Northeastern Italy","Di Lenardo 2010 Vigneto Vigne da Lis Maris Chardonnay (Venezia Giulia)","Chardonnay",2010
"Italy",87,17,"Veneto","Montresor 2009 Capitel della Crosara  (Valpolicella Ripasso)","Corvina, Rondinella, Molinara",2009
"Italy",87,15,"Sicily & Sardinia","Cantine Barbera 2008 Inzolia (Sicilia)","Inzolia",2008
"Italy",92,35,"Piedmont","Pertinace 2008  Barolo","Nebbiolo",2008
"Italy",93,65,"Piedmont","Braida di Giacomo Bologna 2013 Bricco dell'Uccellone  (Barbera d'Asti)","Barbera",2013
"Italy",87,19,"Piedmont","Pasquale Pelissero 2012 CrosíÂ' Nebbiolo (Langhe)","Nebbiolo",2012
"Italy",90,41,"Northeastern Italy","Mario Schiopetto 2006 Bianco White (Venezia Giulia)","White Blend",2006
"Italy",93,70,"Piedmont","Carlo Giacosa 2014 Montefico  (Barbaresco)","Nebbiolo",2014
"Italy",87,28,"Sicily & Sardinia","Marabino 2007 í_ureka Chardonnay (Sicilia)","Chardonnay",2007
"Italy",92,105,"Tuscany","La Serena 2007 Riserva Gemini  (Brunello di Montalcino)","Sangiovese Grosso",2007
"Italy",90,33,"Tuscany","Palazzo Vecchio 2012 Maestro  (Vino Nobile di Montepulciano)","Red Blend",2012
"Italy",87,25,"Veneto","Bacio della Luna 2012 Millesimato Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)","Glera",2012
"Italy",89,27,"Tuscany","L'Oca Ciuca 2007  Brunello di Montalcino","Sangiovese Grosso",2007
"Italy",87,30,"Central Italy","Casalfarneto 2010 Riserva Crisio  (Verdicchio dei Castelli di Jesi Classico)","Verdicchio",2010
"Italy",91,35,"Tuscany","Fattoria di Grignano 2009 Salicaria Red (Toscana)","Red Blend",2009
"Italy",94,90,"Piedmont","Brovia 2009 Ca' Mia  (Barolo)","Nebbiolo",2009
"Italy",89,25,"Northeastern Italy","Cantina Produttori San Michele Appiano 2012 Riserva Lagrein (Alto Adige)","Lagrein",2012
"Italy",91,30,"Veneto","Suavia 2012 Massifitti Trebbiano (Veronese)","Trebbiano",2012
"Italy",92,84,"Piedmont","Marchesi di Barolo 2000 Riserva  (Barolo)","Nebbiolo",2000
"Italy",87,55,"Tuscany","Collemattoni 2005  Brunello di Montalcino","Sangiovese Grosso",2005
"Italy",91,22,"Piedmont","Pecchenino 2009 Siríå d'Jermu  (Dogliani)","Dolcetto",2009
"Italy",87,30,"Sicily & Sardinia","Pala 2010 Stellato  (Vermentino di Sardegna)","Vermentino",2010
"Italy",94,95,"Tuscany","La Poderina 2011 Poggio Abate Riserva  (Brunello di Montalcino)","Sangiovese",2011
"Italy",87,19,"Sicily & Sardinia","Ceuso 2008 Scurati Nero d'Avola (Sicilia)","Nero d'Avola",2008
"Italy",86,13,"Veneto","Corte Adami 2012  Soave","Garganega",2012
"Italy",86,15,"Northeastern Italy","La Viarte 2010 Incí_ White (Delle Venezie)","White Blend",2010
"Italy",93,75,"Tuscany","Tenuta di Valgiano 2009 Red (Colline Lucchesi)","Red Blend",2009
"Italy",93,140,"Piedmont","Massolino 2009 Vigna Rionda Riserva  (Barolo)","Nebbiolo",2009
"Italy",87,11,"Veneto","Masi 2002 Colbaraca Classico  (Soave)","Garganega",2002
"Italy",88,25,"Tuscany","Setriolo 2011  Chianti Classico","Red Blend",2011
"Italy",89,25,"Tuscany","Colle Spinello 2012  Morellino di Scansano","Red Blend",2012
"Italy",89,55,"Piedmont","Sordo 2011 Ravera  (Barolo)","Nebbiolo",2011
"Italy",90,22,"Tuscany","Palazzo Vecchio 2011  Vino Nobile di Montepulciano","Red Blend",2011
"Italy",89,21,"Southern Italy","Villa Matilde 2003 Red (Falerno del Massico)","Red Blend",2003
"Italy",87,30,"Southern Italy","Librandi 2006 Efeso Mantonico (Val di Neto)","Mantonico",2006
"Italy",87,19,"Sicily & Sardinia","Nicosia 2010 Fondo Filara  (Etna)","White Blend",2010
"Italy",88,19,"Piedmont","Malviríæ 2012  Roero","Arneis",2012
"Italy",95,75,"Tuscany","L'Aietta 2012  Brunello di Montalcino","Sangiovese",2012
"Italy",89,27,"Tuscany","Terre di Fiori 2010 Ventaio  (Morellino di Scansano)","Sangiovese",2010
"Italy",87,15,"Piedmont","Punset 2010  Barbera d'Alba","Barbera",2010
"Italy",87,17,"Piedmont","Pico Maccario 2012 Estrosa  (Monferrato Bianco)","White Blend",2012
"Italy",87,85,"Piedmont","Parusso 2012 Le Coste di Monforte  (Barolo)","Nebbiolo",2012
"Italy",88,14,"Tuscany","Poggio Argentiera 2015 Bellamarsilia  (Morellino di Scansano)","Sangiovese",2015
"Italy",90,19,"Northeastern Italy","Castelfeder 2012 Lahn Kerner (Vigneti delle Dolomiti)","Kerner",2012
"Italy",89,20,"Sicily & Sardinia","Firriato 2016 Le Sabbie dell'Etna Bianco  (Etna)","White Blend",2016
"Italy",90,18,"Southern Italy","Cantine di Marzo 2015  Greco di Tufo","Greco",2015
"Italy",88,27,"Central Italy","Celli 2013 Bron& Ruseval Riserva Sangiovese (Romagna)","Sangiovese",2013
"Italy",86,32,"Tuscany","Terralsole 2012  Rosso di Montalcino","Sangiovese",2012
"Italy",88,18,"Piedmont","Monchiero Carbone 2015 Recit  (Roero)","Arneis",2015
"Italy",92,35,"Tuscany","Felsina 2005 Rancia Riserva  (Chianti Classico)","Sangiovese",2005
"Italy",90,19,"Piedmont","Pio Cesare 2005  Barbera d'Alba","Barbera",2005
"Italy",90,25,"Northeastern Italy","Ronco del Gelso 2015 Toc Bas Friulano (Friuli Isonzo)","Friulano",2015
"Italy",86,10,"Central Italy","Rocca di Fabbri 2015 Grechetto (Colli Martani)","Grechetto",2015
"Italy",88,30,"Northeastern Italy","Marco Felluga 2011 Mongris Riserva Pinot Grigio (Collio)","Pinot Grigio",2011
"Italy",88,15,"Tuscany","Rocca di Montemassi 2011 Calasole Vermentino (Maremma Toscana)","Vermentino",2011
"Italy",85,12,"Piedmont","Gran Passione 2012  Barbera d'Asti","Barbera",2012
"Italy",86,14,"Sicily & Sardinia","Caruso & Minini 2009 Terre di Giumara Nero d'Avola (Sicilia)","Nero d'Avola",2009
"Italy",90,22,"Veneto","Adami 2014 Col Credas Rive di Farra di Soligo  (Valdobbiadene Prosecco Superiore)","Glera",2014
"Italy",91,30,"Tuscany","Campo di Sasso 2013 Insoglio del Cinghiale Red (Toscana)","Red Blend",2013
"Italy",89,35,"Veneto","Suavia 2011 Le Rive Garganega (Veronese)","Garganega",2011
"Italy",92,18,"Central Italy","Cavicchioli 2016 Vigna del Cristo  (Lambrusco di Sorbara)","Lambrusco di Sorbara",2016
"Italy",89,30,"Tuscany","Pratesi 2013 Il Circo Rosso Riserva  (Carmignano)","Red Blend",2013
"Italy",89,35,"Piedmont","Cascina Rabaglio 2014 Cíæ Grossa  (Barbaresco)","Nebbiolo",2014
"Italy",92,108,"Piedmont","Poderi Luigi Einaudi 2013 Cannubi  (Barolo)","Nebbiolo",2013
"Italy",87,20,"Piedmont","Camerano 2007  Dolcetto d'Alba","Dolcetto",2007
"Italy",94,80,"Tuscany","Michele Satta 2003 I Castagni  (Bolgheri Superiore)","Red Blend",2003
"Italy",94,79,"Piedmont","Elvio Cogno 2012 Ravera  (Barolo)","Nebbiolo",2012
"Italy",88,30,"Veneto","Tezza 2008 Corte Majoli  (Amarone della Valpolicella)","Corvina, Rondinella, Molinara",2008
"Italy",89,46,"Veneto","Bolla 2010  Amarone della Valpolicella Classico","Red Blend",2010
"Italy",88,26,"Tuscany","Argiano 2013 Non Confonditur Red (Toscana)","Red Blend",2013
"Italy",81,53,"Tuscany","Tenuta del Buonamico 2011 Rosato (Toscana)","Rosato",2011
"Italy",87,30,"Italy Other","Murgo 2007 Extra Brut Metodo Classico Nerello Mascalese (Vino Spumante)","Nerello Mascalese",2007
"Italy",87,14,"Sicily & Sardinia","Fondo Antico 2010 Nero d'Avola (Sicilia)","Nero d'Avola",2010
"Italy",92,55,"Tuscany","Caprili 2006  Brunello di Montalcino","Sangiovese Grosso",2006
"Italy",88,41,"Tuscany","Castello Banfi 2003 Tavernelle Cabernet Sauvignon (Sant'Antimo)","Cabernet Sauvignon",2003
"Italy",86,29,"Tuscany","Poggio Borgoni 2013 Red (Toscana)","Red Blend",2013
"Italy",82,37,"Piedmont","Il Chiosso 2008  Ghemme","Nebbiolo",2008
"Italy",87,15,"Northeastern Italy","Talis Wine 2011 Sauvignon (Venezia Giulia)","Sauvignon",2011
"Italy",89,13,"Tuscany","Tenuta Il Faggeto 2012 Lupaio  (Rosso di Montepulciano)","Red Blend",2012
"Italy",87,15,"Veneto","Cantina di Soave 2009 Rocca Sveva  (Soave Classico)","Garganega",2009
"Italy",93,35,"Piedmont","Anzivino 2010  Gattinara","Nebbiolo",2010
"Italy",92,37,"Tuscany","Castello Banfi 2007 Cum Laude Red (Toscana)","Red Blend",2007
"Italy",88,23,"Northeastern Italy","Marco Felluga 2013 Ribolla Gialla (Collio)","Ribolla Gialla",2013
"Italy",90,40,"Northeastern Italy","Tiefenbrunner 2011 Linticlarus Riserva Lagrein (Alto Adige)","Lagrein",2011
"Italy",87,80,"Veneto","Monte Tondo 2009  Amarone della Valpolicella","Red Blend",2009
"Italy",91,35,"Sicily & Sardinia","Feudo Disisa 2008 Tornamira Red (Sicilia)","Red Blend",2008
"Italy",86,15,"Veneto","Maculan 2012 Ferrata Sauvignon (Veneto)","Sauvignon",2012
"Italy",92,60,"Piedmont","Grimaldi Bruna 2010 Badarina Riserva  (Barolo)","Nebbiolo",2010
"Italy",88,121,"Piedmont","Ceretto 2014 Bernardot  (Barbaresco)","Nebbiolo",2014
"Italy",86,13,"Piedmont","Pico Maccario 2007 Lavignone  (Barbera d'Asti)","Barbera",2007
"Italy",86,15,"Veneto","L'Antica Quercia 2007 Arií_ Extra Dry  (Prosecco di Conegliano)","Prosecco",2007
"Italy",87,26,"Lombardy","Citari 2011 Torre  (Lugana)","Turbiana",2011
"Italy",90,78,"Tuscany","Poggio Antico 2005 Madre Red (Toscana)","Red Blend",2005
"Italy",90,35,"Piedmont","Elvio Cogno 2013 Bricco dei Merli  (Barbera d'Alba)","Barbera",2013
"Italy",91,45,"Southern Italy","I Capitani 2006 Bosco Faiano  (Taurasi)","Aglianico",2006
"Italy",88,21,"Piedmont","Mauro Sebaste 2012  Gavi","Cortese",2012
