Country,Points,Price,Province,Title,Variety,Type,Red,White,CommonWines,NonCommonWine,NorthAmerica,SouthAmerica,Europe,Other,Vintage
France,85,13,Bordeaux,Ch?_teau Vrai Caillou 2015  Entre-Deux-Mers,Bordeaux-style White Blend,White,0,1,0,1,0,0,1,0,2015
France,85,28,Loire Valley,Fran??ois Millet 2012 Empreinte Ros?? (Sancerre),Ros??,Red,1,0,0,1,0,0,1,0,2012
France,85,20,Alsace,Gustave Lorentz 2011 Le Ros?? (Alsace),Ros??,Red,1,0,0,1,0,0,1,0,2011
France,83,10,France Other,Romantic 2015 Authentic & Chic Merlot (Vin de France),Merlot,Red,1,0,0,1,0,0,1,0,2015
France,87,20,Burgundy,Domaine C??line et Fr??d??ric Gueguen 2014 Curiosit?? de Bourgogne  (Saint-Bris),Sauvignon Blanc,White,0,1,1,0,0,0,1,0,2014
France,85,20,Loire Valley,Domaine de l'Ermitage 2014 Cuv??e Ros?? (Menetou-Salon),Ros??,Red,1,0,0,1,0,0,1,0,2014
France,88,24,Bordeaux,Ch?_teau Haut Bergeron 2003  Sauternes,Bordeaux-style White Blend,White,0,1,0,1,0,0,1,0,2003
France,88,15,Bordeaux,Ch?_teau de Paillet-Quancard 2010  Cadillac C??tes de Bordeaux,Bordeaux-style Red Blend,Red,1,0,0,1,0,0,1,0,2010
France,88,30,Burgundy,Domaine Christian Moreau P??re et Fils 2015  Chablis,Chardonnay,White,0,1,1,0,0,0,1,0,2015
France,90,25,Beaujolais,Domaine Chaintreuil 2015 La Madone  (Fleurie),Gamay,Red,1,0,0,1,0,0,1,0,2015
France,85,18,Burgundy,Antonin Rodet 2011 A. Rodet  (Bourgogne),Chardonnay,White,0,1,1,0,0,0,1,0,2011
France,92,55,Rh??ne Valley,Domaine de Cristia 2006 Red (Ch?_teauneuf-du-Pape),Rh??ne-style Red Blend,Red,1,0,0,1,0,0,1,0,2006
France,90,25,Loire Valley,Domaine Philippe Raimbault 2015 Apud Sariacum  (Sancerre),Sauvignon Blanc,White,0,1,1,0,0,0,1,0,2015
France,92,34,Alsace,Jean-Marc Bernhard 2013 Wineck-Schlossberg Grand Cru Riesling (Alsace),Riesling,White,0,1,1,0,0,0,1,0,2013
France,92,95,Bordeaux,Ch?_teau Duhart-Milon 2011  Pauillac,Bordeaux-style Red Blend,Red,1,0,0,1,0,0,1,0,2011
France,87,27,Loire Valley,Fournier P??re et Fils 2010 Les Deux Cailloux  (Pouilly-Fum??),Sauvignon Blanc,White,0,1,1,0,0,0,1,0,2010
France,94,78,Alsace,Domaine Riefl??-Landmann 2012 Seppi Landmann Zinnkoepfl?? Grand Cru Vendanges Tardives Pinot Gris (Alsace),Pinot Gris,White,0,1,1,0,0,0,1,0,2012
France,94,41,Burgundy,Ch?_teau de Fuiss?? 2014 T?_te de Cru  (Pouilly-Fuiss??),Chardonnay,White,0,1,1,0,0,0,1,0,2014
France,90,15,Alsace,Joseph Cattin 2014 Riesling (Alsace),Riesling,White,0,1,1,0,0,0,1,0,2014
France,89,78,Burgundy,Domaine A. Machard de Gramont 2010 Les Damodes Premier Cru  (Nuits-St.-Georges),Pinot Noir,Red,1,0,1,0,0,0,1,0,2010
France,89,22,Southwest France,Cave du Marmandais 2011 Confidential Red (C??tes du Marmandais),Red Blend,Red,1,0,1,0,0,0,1,0,2011
France,89,13,Southwest France,Lionel Osmin & Cie 2015 Merlot-Cabernet Sauvignon (Buzet),Merlot-Cabernet Sauvignon,Red,1,0,0,1,0,0,1,0,2015
France,87,20,Bordeaux,Ch?_teau Brethous 2015 Cuv??e Prestige  (Cadillac C??tes de Bordeaux),Bordeaux-style Red Blend,Red,1,0,0,1,0,0,1,0,2015
France,90,27,Alsace,Domaine Ostertag 2011 Vignoble d'E Riesling (Alsace),Riesling,White,0,1,1,0,0,0,1,0,2011
France,95,204,Champagne,Taittinger 1995 Comtes de Champagne Brut Ros??  (Champagne),Champagne Blend,White,0,1,0,1,0,0,1,0,1995
France,87,22,Bordeaux,Vignobles Arno 2014 Ch?_teau Godard Bellevue  (Francs C??tes de Bordeaux),Bordeaux-style Red Blend,Red,1,0,0,1,0,0,1,0,2014
France,86,18,Southwest France,Domaine Rotier 2013 Esquisse Red (Gaillac),Red Blend,Red,1,0,1,0,0,0,1,0,2013
France,88,27,Burgundy,La Chablisienne 2006 Les V??n??rables Vieilles Vignes  (Chablis),Chardonnay,White,0,1,1,0,0,0,1,0,2006
France,92,40,Alsace,Jean-Marc Bernhard 2015 Mambourg Grand Cru Gewurztraminer (Alsace),Gew?årztraminer,White,0,1,0,1,0,0,1,0,2015
France,85,11,Provence,Les Vins Br??ban 2016 Les Hauts Plateaux Ros??,Ros??,Red,1,0,0,1,0,0,1,0,2016
France,87,25,Alsace,Domaine Bernhard & Reibel 2014 Hahnenberg Pinot Gris (Alsace),Pinot Gris,White,0,1,1,0,0,0,1,0,2014
France,89,16,Loire Valley,Ch?_teau de Fesles 2009 Chenin Blanc (Anjou),Chenin Blanc,White,0,1,0,1,0,0,1,0,2009
France,88,18,Bordeaux,Ch?_teau Cambon la Pelouse 2011  Haut-M??doc,Bordeaux-style Red Blend,Red,1,0,0,1,0,0,1,0,2011
France,89,10,France Other,Marrenon 2014 Classique Merlot Ros?? (Mediterran??e),Ros??,Red,1,0,0,1,0,0,1,0,2014
France,89,15,Alsace,W. Gisselbrecht 2015 Tradition Pinot Blanc (Alsace),Pinot Blanc,White,0,1,0,1,0,0,1,0,2015
France,93,35,Bordeaux,Ch?_teau Picque Caillou 2015  Pessac-L??ognan,Bordeaux-style White Blend,White,0,1,0,1,0,0,1,0,2015
France,92,65,Rh??ne Valley,S??lection Laurence F??raud 2012 Red (Ch?_teauneuf-du-Pape),Rh??ne-style Red Blend,Red,1,0,0,1,0,0,1,0,2012
France,88,19,Loire Valley,Lacheteau 2016 Ch?_teau de Montgu??ret  (Ros?? d'Anjou),Ros??,Red,1,0,0,1,0,0,1,0,2016
France,91,16,Rh??ne Valley,Vignerons de Tavel 2012 Les Hauts d'Acantalys Red (Lirac),Rh??ne-style Red Blend,Red,1,0,0,1,0,0,1,0,2012
France,90,14,Loire Valley,Domaine des Cognettes 2015 S??lection des Cognettes Sur Lie  (Muscadet S??vre et Maine),Melon,White,0,1,0,1,0,0,1,0,2015
France,88,45,Bordeaux,Ch?_teau de Candale 2007  Saint-??milion,Bordeaux-style Red Blend,Red,1,0,0,1,0,0,1,0,2007
France,86,14,Bordeaux,Ch?_teau Tuilerie Pag??s 2011  Entre-Deux-Mers,Bordeaux-style White Blend,White,0,1,0,1,0,0,1,0,2011
France,85,20,Bordeaux,Les Fontenilles 2015 Red (Bordeaux Clairet),Bordeaux-style Red Blend,Red,1,0,0,1,0,0,1,0,2015
France,88,25,Loire Valley,Domaine Beno??t & Mathieu Fleuriet 2015 Les Demoiselles  (Menetou-Salon),Sauvignon Blanc,White,0,1,1,0,0,0,1,0,2015
France,88,23,Provence,La Bastide Blanche 2012 Ros?? (Bandol),Ros??,Red,1,0,0,1,0,0,1,0,2012
France,86,12,Provence,Sables d'Azur 2015 Ros?? (C??tes de Provence),Ros??,Red,1,0,0,1,0,0,1,0,2015
France,85,13,Provence,Ch?_teau Deffends 2011 Cuv??e Premi??re Ros?? (C??tes de Provence),Ros??,Red,1,0,0,1,0,0,1,0,2011
France,84,15,Loire Valley,Alliance Loire 2014 Domaine de la Lysardi??re Ros?? (Chinon),Ros??,Red,1,0,0,1,0,0,1,0,2014
France,88,16,Bordeaux,Domaine de Chevalier 2015 Ros?? de Chevalier Ros?? (Bordeaux Ros??),Ros??,Red,1,0,0,1,0,0,1,0,2015
Germany,91,19,Rheinhessen,Th??rle 2013 Trocken Riesling (Rheinhessen),Riesling,White,0,1,1,0,0,0,1,0,2013
Germany,93,35,Mosel,S.A. Pr?åm 2013 Wehlener Sonnenuhr Sp??tlese Grosse Lage Riesling (Mosel),Riesling,White,0,1,1,0,0,0,1,0,2013
Germany,90,28,Mosel,Dr. H. Thanisch (Erben M?åller-Burggraef) 2011 Sp??tlese Trocken Riesling (Mosel),Riesling,White,0,1,1,0,0,0,1,0,2011
Germany,86,13,Rheinhessen,Dr. Heyden 2015 Alte Reben Trocken Silvaner (Rheinhessen),Silvaner,White,0,1,0,1,0,0,1,0,2015
Germany,87,43,Pfalz,Gaul 2012 Sausenheimer H??llenpfad Trocken St. Laurent (Pfalz),St. Laurent,Red,1,0,0,1,0,0,1,0,2012
Greece,85,14,Santorini,Greek Wine Cellars 2010 Assyrtico (Santorini),Assyrtico,White,0,1,0,1,0,0,1,0,2010
Italy,88,44,Veneto,Villa Canestrari 2011 Alesium  (Recioto di Soave),White Blend,White,0,1,1,0,0,0,1,0,2011
Italy,93,29,Sicily & Sardinia,Curto 2010 Fontanelle Nero d'Avola (Eloro),Nero d'Avola,Red,1,0,0,1,0,0,1,0,2010
Italy,94,34,Southern Italy,Terredora Di Paolo 2009 Fatica Contadina  (Taurasi),Aglianico,Red,1,0,0,1,0,0,1,0,2009
Italy,93,55,Piedmont,Revello Fratelli 2013 Gattera  (Barolo),Nebbiolo,Red,1,0,0,1,0,0,1,0,2013
Italy,87,75,Tuscany,Argiano 2010 Solengo Red (Toscana),Red Blend,Red,1,0,1,0,0,0,1,0,2010
Italy,91,60,Tuscany,Guado al Tasso 2013 Cont'Ugo  (Bolgheri),Red Blend,Red,1,0,1,0,0,0,1,0,2013
Italy,89,48,Piedmont,Podere Ruggeri Corsini 2011 Bussia Corsini  (Barolo),Nebbiolo,Red,1,0,0,1,0,0,1,0,2011
Italy,91,75,Piedmont,Beni di Batasiolo 2006 Vigneto Boscareto  (Barolo),Nebbiolo,Red,1,0,0,1,0,0,1,0,2006
Italy,87,15,Northeastern Italy,Castelfeder 2013 Breitbacher Vernatsch Schiava (Alto Adige),Schiava,Red,1,0,0,1,0,0,1,0,2013
Italy,87,29,Tuscany,Ormanni 2011 Borro del Diavolo Riserva  (Chianti Classico),Sangiovese,Red,1,0,0,1,0,0,1,0,2011
Italy,87,36,Piedmont,Marchesi di Barolo 2013 Peiregal  (Barbera d'Alba),Barbera,Red,1,0,0,1,0,0,1,0,2013
Italy,84,20,Northeastern Italy,Gaierhof 2012 Pinot Grigio (Trentino),Pinot Grigio,Red,1,0,0,1,0,0,1,0,2012
Italy,95,38,Piedmont,La Spinona 2012 Bergera  (Barolo),Nebbiolo,Red,1,0,0,1,0,0,1,0,2012
Italy,89,18,Sicily & Sardinia,Paolo Cal?È 2015 Jazz Red (Terre Siciliane),Red Blend,Red,1,0,1,0,0,0,1,0,2015
Italy,90,35,Central Italy,Di Filippo 2009 Etnico  (Sagrantino di Montefalco),Sagrantino,Red,1,0,0,1,0,0,1,0,2009
Italy,89,65,Tuscany,Fattoria di Magliano 2012 Perenzo  (Maremma Toscana),Syrah,Red,1,0,1,0,0,0,1,0,2012
Italy,87,15,Tuscany,Bartali 2013 Ducceto  (Chianti),Red Blend,Red,1,0,1,0,0,0,1,0,2013
Italy,91,30,Tuscany,Marchesi de' Frescobaldi 2013 Nipozzano Vecchie Viti Riserva  (Chianti Rufina),Red Blend,Red,1,0,1,0,0,0,1,0,2013
Italy,88,50,Veneto,Albino Armani 2010  Amarone della Valpolicella,Red Blend,Red,1,0,1,0,0,0,1,0,2010
Italy,89,25,Piedmont,Malvir?¯ 2014 Vigna Trinit?¯  (Roero),Arneis,White,0,1,0,1,0,0,1,0,2014
Italy,87,13,Central Italy,Morini 2015 Sette Note Secco Albana (Romagna),Albana,White,0,1,0,1,0,0,1,0,2015
Italy,88,75,Tuscany,Guicciardini Strozzi 2012 Vignar?? Red (Toscana),Red Blend,Red,1,0,1,0,0,0,1,0,2012
Italy,88,28,Tuscany,Lecci e Brocchi 2013  Chianti Classico,Red Blend,Red,1,0,1,0,0,0,1,0,2013
Italy,91,90,Tuscany,Tenuta Sette Ponti 1999 Oreno Sangiovese (Toscana),Sangiovese,Red,1,0,0,1,0,0,1,0,1999
Italy,90,30,Tuscany,Vignavecchia 2010 Vigneto Odoardo Beccari Riserva  (Chianti Classico),Red Blend,Red,1,0,1,0,0,0,1,0,2010
Italy,85,24,Northeastern Italy,Ascevi Luwa 2015 Grappoli Pinot Grigio (Collio),Pinot Grigio,Red,1,0,0,1,0,0,1,0,2015
Italy,87,16,Veneto,La Tordera 2016 Saom?È Brut  (Prosecco Treviso),Glera,White,0,1,0,1,0,0,1,0,2016
Italy,91,30,Northeastern Italy,Niedermayr Josef 2012 Naun Sauvignon (Alto Adige),Sauvignon,White,0,1,0,1,0,0,1,0,2012
Italy,87,20,Southern Italy,I Capitani 2013 Gaudium  (Fiano di Avellino),Fiano,White,0,1,0,1,0,0,1,0,2013
Italy,89,15,Sicily & Sardinia,Argiolas 2014 Costamolino  (Vermentino di Sardegna),Vermentino,White,0,1,0,1,0,0,1,0,2014
Italy,87,15,Tuscany,Bonacchi 2009 Casalino Riserva  (Chianti Classico),Sangiovese,Red,1,0,0,1,0,0,1,0,2009
Italy,87,26,Tuscany,Fossacolle 2012  Rosso di Montalcino,Sangiovese,Red,1,0,0,1,0,0,1,0,2012
Italy,89,54,Veneto,San Rustico 2008  Amarone della Valpolicella,Red Blend,Red,1,0,1,0,0,0,1,0,2008
Italy,89,23,Lombardy,Olivini 2015 Demesse Vecchie  (Lugana),Turbiana,White,0,1,0,1,0,0,1,0,2015
Italy,89,25,Northeastern Italy,Primosic 2014 Gmajne Sauvignon (Collio),Sauvignon,White,0,1,0,1,0,0,1,0,2014
Italy,89,26,Tuscany,Felsina 2011 Berardenga  (Chianti Classico),Sangiovese,Red,1,0,0,1,0,0,1,0,2011
Italy,84,60,Piedmont,Mauro Molino 2009 Vigna Gancia  (Barolo),Nebbiolo,Red,1,0,0,1,0,0,1,0,2009
Italy,91,60,Piedmont,Cascina delle Rose 2013 Rio Sordo  (Barbaresco),Nebbiolo,Red,1,0,0,1,0,0,1,0,2013
Italy,90,20,Northeastern Italy,Abbazia di Novacella 2013 Riesling (Alto Adige Valle Isarco),Riesling,White,0,1,1,0,0,0,1,0,2013
Italy,84,33,Piedmont,La Bioca 2013  Barbaresco,Nebbiolo,Red,1,0,0,1,0,0,1,0,2013
Italy,91,45,Northeastern Italy,Terlan 2014 Monticol Riserva Lagrein (Alto Adige),Lagrein,Red,1,0,0,1,0,0,1,0,2014
Italy,87,20,Piedmont,Daniele Reale 2013 La Fi??  (Barbera d'Asti Superiore),Barbera,Red,1,0,0,1,0,0,1,0,2013
Italy,80,10,Central Italy,Tenimenti Montagnana 2014 Rubentino  (Montepulciano d'Abruzzo),Montepulciano,Red,1,0,0,1,0,0,1,0,2014
Italy,93,45,Tuscany,Il Conventino 2012 Riserva  (Vino Nobile di Montepulciano),Red Blend,Red,1,0,1,0,0,0,1,0,2012
Italy,87,25,Tuscany,Castello di Monsanto 2010 Riserva  (Chianti Classico),Red Blend,Red,1,0,1,0,0,0,1,0,2010
New Zealand,94,55,Martinborough,Ata Rangi 2013 Pinot Noir (Martinborough),Pinot Noir,Red,1,0,1,0,0,0,0,1,2013
New Zealand,85,16,Marlborough,Brancott 2014 Flight Song Pinot Grigio (Marlborough),Pinot Grigio,Red,1,0,0,1,0,0,0,1,2014
New Zealand,87,11,Gisborne,Glazebrook 2000 Chardonnay (Gisborne),Chardonnay,White,0,1,1,0,0,0,0,1,2000
New Zealand,89,25,Marlborough,Tinpot Hut 2014 Pinot Noir (Marlborough),Pinot Noir,Red,1,0,1,0,0,0,0,1,2014
New Zealand,90,17,Nelson,Seifried 2011 Riesling (Nelson),Riesling,White,0,1,1,0,0,0,0,1,2011
New Zealand,86,28,Nelson,Neudorf 2008 Tom's Block Pinot Noir (Nelson),Pinot Noir,Red,1,0,1,0,0,0,0,1,2008
Portugal,90,18,Alentejano,Wines & Winemakers 2012 Abreu Callado Reserva?¯ Red (Alentejano),Portuguese Red,Red,1,0,0,1,0,0,1,0,2012
Portugal,84,12,Pen??nsula de Set?_bal,Wines & Winemakers 2014 Monta da Ba??a Ros?? (Pen??nsula de Set?_bal),Ros??,Red,1,0,0,1,0,0,1,0,2014
Portugal,87,10,Douro,Castello d'Alba 2009 Red (Douro),Portuguese Red,Red,1,0,0,1,0,0,1,0,2009
Portugal,85,34,Douro,Ramos-Pinto 1997 Duas Quintas Reserva Touriga Nacional (Douro),Touriga Nacional,Red,1,0,0,1,0,0,1,0,1997
Portugal,85,8,Vinho Verde,Enoport 2016 Fais?ìo White (Vinho Verde),Portuguese White,White,0,1,0,1,0,0,1,0,2016
Portugal,89,18,Douro,Castello d'Alba 2006 Vinhas Velhas White (Douro),Portuguese White,White,0,1,0,1,0,0,1,0,2006
Portugal,88,17,Alentejo,Roquevale 2015 Branco de Curtimenta White (Alentejo),Portuguese White,White,0,1,0,1,0,0,1,0,2015
Portugal,85,12,Douro,Quevedo 2014 Oscar's Branco White (Douro),Portuguese White,White,0,1,0,1,0,0,1,0,2014
Portugal,88,18,Tejo,Casa Cadaval 2015 Vinha Padre Pedro Reserva Viognier-Arinto White (Tejo),Portuguese White,White,0,1,0,1,0,0,1,0,2015
Portugal,85,10,Alentejano,Herdade do Espor?ìo 2010 Monte Velho Branco White (Alentejano),Portuguese White,White,0,1,0,1,0,0,1,0,2010
Portugal,90,22,Alentejano,Casa Agricola Alexandre Relvas 2014 Segredos de S?ìo Miguel Private Selection Red (Alentejano),Portuguese Red,Red,1,0,0,1,0,0,1,0,2014
Portugal,95,58,Port,Taylor Fladgate 2015 Quinta da Vargellas Vintage  (Port),Port,Red,1,0,0,1,0,0,1,0,2015
South Africa,84,14,Stellenbosch,Morgenhof 2010 Fantail Pinotage Ros?? (Stellenbosch),Ros??,Red,1,0,0,1,0,0,0,1,2010
South Africa,88,19,Wellington,Nabygelegen 2010 Lady Anna White (Wellington),White Blend,White,0,1,1,0,0,0,0,1,2010
South Africa,86,17,Elgin,M'Hudi 2006 Sauvignon Blanc (Elgin),Sauvignon Blanc,White,0,1,1,0,0,0,0,1,2006
South Africa,87,17,Coastal Region,KWV 2006 Cathedral Cellar Cabernet Sauvignon (Coastal Region),Cabernet Sauvignon,Red,1,0,1,0,0,0,0,1,2006
Spain,88,14,Northern Spain,Inurrieta 2010 Norte Merlot-Cabernet Sauvignon (Navarra),Merlot-Cabernet Sauvignon,Red,1,0,0,1,0,0,1,0,2010
Spain,86,10,Northern Spain,Coto de Hayas 2005 Tempranillo-Cabernet Sauvignon (Campo de Borja),Tempranillo-Cabernet Sauvignon,Red,1,0,0,1,0,0,1,0,2005
Spain,85,10,Central Spain,Dominio de Punctum 2016 Lobetia Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Red,1,0,0,1,0,0,1,0,2016
Spain,88,20,Northern Spain,Oliver Conti 2009 Ara Red (Empord?¯),Red Blend,Red,1,0,1,0,0,0,1,0,2009
Spain,86,9,Levante,Bocopa 2014 Conde de Alicante Selecci??n Tempranillo (Alicante),Tempranillo,Red,1,0,0,1,0,0,1,0,2014
Spain,87,8,Northern Spain,La Mano 2012 Roble Menc??a (Bierzo),Menc??a,Red,1,0,0,1,0,0,1,0,2012
Spain,89,29,Northern Spain,Vallobera 2009 Finca Vallobera  (Rioja),Tempranillo,Red,1,0,0,1,0,0,1,0,2009
Spain,83,15,Northern Spain,Coto de Hayas 2015 Centenaria Garnacha (Campo de Borja),Garnacha,Red,1,0,0,1,0,0,1,0,2015
Spain,83,13,Northern Spain,Bodegas Monte La Reina 2005 Torcanto Roble  (Toro),Tinta de Toro,Red,1,0,0,1,0,0,1,0,2005
Spain,92,30,Northern Spain,Marqu??s de la Concordia 2011 Hacienda Zorita Natural Reserve Syrah (Vino de la Tierra de Castilla y Le??n),Syrah,Red,1,0,1,0,0,0,1,0,2011
Spain,82,9,Northern Spain,Borsao 2015 Ros?? (Campo de Borja),Ros??,Red,1,0,0,1,0,0,1,0,2015
Spain,86,14,Northern Spain,Vi?_a Mayor 2013 Vendimia Seleccionada  (Toro),Tempranillo,Red,1,0,0,1,0,0,1,0,2013
Spain,88,13,Central Spain,Finca La Estacada 2014 12 Meses Barrica Vi?_edos Propios Crianza Tempranillo (Ucl??s),Tempranillo,Red,1,0,0,1,0,0,1,0,2014
Spain,87,27,Northern Spain,Matarromera 2008 Crianza  (Ribera del Duero),Tinto Fino,Red,1,0,0,1,0,0,1,0,2008
Spain,88,25,Levante,Barahonda 2008 Heredad Candela Monastrell (Yecla),Monastrell,Red,1,0,0,1,0,0,1,0,2008
Spain,91,115,Northern Spain,Protos 2009 Selecci??n Finca El Grajo Viejo  (Ribera del Duero),Tempranillo,Red,1,0,0,1,0,0,1,0,2009
Spain,89,30,Northern Spain,Pagos del Rey 2011 Gran Bajoz  (Toro),Tinta de Toro,Red,1,0,0,1,0,0,1,0,2011
Spain,91,39,Catalonia,Mestres 2007 Visol Gran Reserva Brut Nature Sparkling (Cava),Sparkling Blend,White,0,1,0,1,0,0,1,0,2007
Spain,91,25,Northern Spain,Castillo Clavijo 2004 Gran Reserva  (Rioja),Tempranillo Blend,Red,1,0,0,1,0,0,1,0,2004
Spain,87,100,Northern Spain,Abadia Retuerta 2013 Pago Valdebell??n Cabernet Sauvignon (Vino de la Tierra de Castilla y Le??n),Cabernet Sauvignon,Red,1,0,1,0,0,0,1,0,2013
Spain,92,40,Northern Spain,Luis Alegre 2009 Parcela N.5  (Rioja),Tempranillo Blend,Red,1,0,0,1,0,0,1,0,2009
Spain,90,45,Northern Spain,Bodegas Imperiales 2004 Abadia de San Quirce Reserva  (Ribera del Duero),Tempranillo,Red,1,0,0,1,0,0,1,0,2004
Spain,94,96,Northern Spain,Muga 2005 Torre Muga  (Rioja),Tempranillo Blend,Red,1,0,0,1,0,0,1,0,2005
Spain,84,27,Northern Spain,Bodegas y Vi?_edos Rauda 2005 Tinto Roa Crianza  (Ribera del Duero),Tempranillo,Red,1,0,0,1,0,0,1,0,2005
Spain,80,20,Northern Spain,Beronia 2007 Elaboraci??n Especial  (Rioja),Tempranillo,Red,1,0,0,1,0,0,1,0,2007
Spain,87,8,Levante,Volver 2010 Tarima Monastrell (Alicante),Monastrell,Red,1,0,0,1,0,0,1,0,2010
